datetime,Temp_C,Light_lum/ft2
2022-06-21T16:00:00Z,25.902,464
2022-06-21T16:30:00Z,25.805,800
2022-06-21T17:00:00Z,26,512
2022-06-21T17:30:00Z,26.195,1152
2022-06-21T18:00:00Z,26.488,1728
2022-06-21T18:30:00Z,26.781,7936
2022-06-21T19:00:00Z,27.075,5888
2022-06-21T19:30:00Z,27.173,5632
2022-06-21T20:00:00Z,27.37,7680
2022-06-21T20:30:00Z,27.468,3712
2022-06-21T21:00:00Z,27.468,4096
2022-06-21T21:30:00Z,27.468,3584
2022-06-21T22:00:00Z,27.37,2304
2022-06-21T22:30:00Z,27.173,1152
2022-06-21T23:00:00Z,26.977,896
2022-06-21T23:30:00Z,27.075,992
2022-06-22T00:00:00Z,26.781,128
2022-06-22T00:30:00Z,27.075,768
2022-06-22T01:00:00Z,26.977,416
2022-06-22T01:30:00Z,26.879,114
2022-06-22T02:00:00Z,26.683,3
2022-06-22T02:30:00Z,26.683,0
2022-06-22T03:00:00Z,26.683,0
2022-06-22T03:30:00Z,26.585,0
2022-06-22T04:00:00Z,26.585,0
2022-06-22T04:30:00Z,26.585,0
2022-06-22T05:00:00Z,26.585,0
2022-06-22T05:30:00Z,26.488,0
2022-06-22T06:00:00Z,26.488,0
2022-06-22T06:30:00Z,26.488,0
2022-06-22T07:00:00Z,26.39,0
2022-06-22T07:30:00Z,26.39,0
2022-06-22T08:00:00Z,26.292,0
2022-06-22T08:30:00Z,26.195,0
2022-06-22T09:00:00Z,26.195,0
2022-06-22T09:30:00Z,26.097,0
2022-06-22T10:00:00Z,26.097,1
2022-06-22T10:30:00Z,26.097,33
2022-06-22T11:00:00Z,26.097,106
2022-06-22T11:30:00Z,26,152
2022-06-22T12:00:00Z,26,256
2022-06-22T12:30:00Z,26.097,384
2022-06-22T13:00:00Z,26.097,432
2022-06-22T13:30:00Z,26.097,608
2022-06-22T14:00:00Z,26.292,864
2022-06-22T14:30:00Z,26.39,1408
2022-06-22T15:00:00Z,26.977,3072
2022-06-22T15:30:00Z,26.879,2304
2022-06-22T16:00:00Z,28.06,3712
2022-06-22T16:30:00Z,27.862,3328
2022-06-22T17:00:00Z,27.567,2176
2022-06-22T17:30:00Z,27.272,1536
2022-06-22T18:00:00Z,27.272,768
2022-06-22T18:30:00Z,27.37,768
2022-06-22T19:00:00Z,27.468,800
2022-06-22T19:30:00Z,27.665,896
2022-06-22T20:00:00Z,27.862,1152
2022-06-22T20:30:00Z,27.862,1920
2022-06-22T21:00:00Z,27.862,1728
2022-06-22T21:30:00Z,27.665,800
2022-06-22T22:00:00Z,27.567,208
2022-06-22T22:30:00Z,27.567,448
2022-06-22T23:00:00Z,27.37,368
2022-06-22T23:30:00Z,27.272,136
2022-06-23T00:00:00Z,27.272,208
2022-06-23T00:30:00Z,27.173,248
2022-06-23T01:00:00Z,27.075,114
2022-06-23T01:30:00Z,26.977,32
2022-06-23T02:00:00Z,26.977,0
2022-06-23T02:30:00Z,26.879,0
2022-06-23T03:00:00Z,26.879,0
