datetime,Temp_C,DO_mgL,DO_perc
2022-06-22T05:30:00Z,25.84,10.59,134.48188522790528
2022-06-22T06:00:00Z,25.8,10.48,132.98772275862353
2022-06-22T06:30:00Z,25.74,10.41,131.9545377093838
2022-06-22T07:00:00Z,25.68,10.32,130.67010522540912
2022-06-22T07:30:00Z,25.64,10.21,129.1826029021853
2022-06-22T08:00:00Z,25.58,10.17,128.5350388768234
2022-06-22T08:30:00Z,25.56,10.06,127.09815249479928
2022-06-22T09:00:00Z,25.5,9.91,125.06525679275164
2022-06-22T09:30:00Z,25.46,9.75,122.95568113255706
2022-06-22T10:00:00Z,25.42,9.61,121.10111899099292
2022-06-22T10:30:00Z,25.38,9.54,120.13062912588734
2022-06-22T11:00:00Z,25.36,9.53,119.96056859242675
2022-06-22T11:30:00Z,25.32,9.44,118.74024844857048
2022-06-22T12:00:00Z,25.3,9.56,120.20539422682457
2022-06-22T12:30:00Z,25.3,9.66,121.46277282752357
2022-06-22T13:00:00Z,25.32,9.74,122.51377329333437
2022-06-22T13:30:00Z,25.34,9.94,125.07548437019328
2022-06-22T14:00:00Z,25.38,10.14,127.68601460550292
2022-06-22T14:30:00Z,25.48,10.25,129.30859466580318
2022-06-22T15:00:00Z,25.58,10.34,130.68360884821573
2022-06-22T15:30:00Z,25.68,10.5,132.94923496771278
2022-06-22T16:00:00Z,25.82,10.58,134.30579034664794
2022-06-22T16:30:00Z,25.98,10.75,136.8631096289386
2022-06-22T17:00:00Z,26.16,10.87,138.84546089085535
2022-06-22T17:30:00Z,26.34,11.1,142.24790695381645
2022-06-22T18:00:00Z,26.52,11.28,145.02716559027576
2022-06-22T18:30:00Z,26.66,11.43,147.328421957494
2022-06-22T19:00:00Z,26.78,11.62,150.10242723662816
2022-06-22T19:30:00Z,26.94,11.77,152.47926290125469
2022-06-22T20:00:00Z,27.1,11.91,154.7377222534926
2022-06-22T20:30:00Z,27.24,12.09,157.4716802263329
2022-06-22T21:00:00Z,27.3,12.19,158.94509938278276
2022-06-22T21:30:00Z,27.3,12.44,162.20484301245426
2022-06-22T22:00:00Z,27.32,12.53,163.436926239033
2022-06-22T22:30:00Z,27.36,12.68,165.5120450436642
2022-06-22T23:00:00Z,27.26,12.79,166.64892018541144
2022-06-22T23:30:00Z,27.16,12.91,167.9108669940247
2022-06-23T00:00:00Z,27.04,12.97,168.32783037520565
2022-06-23T00:30:00Z,26.96,12.8,165.88254815055043
2022-06-23T01:00:00Z,26.84,12.56,162.42067448478616
2022-06-23T01:30:00Z,26.74,12.36,159.54619931537198
2022-06-23T02:00:00Z,26.68,12.31,158.7286575121539
2022-06-23T02:30:00Z,26.64,12.23,157.58313596635355
2022-06-23T03:00:00Z,26.56,12.22,157.2265818147909
2022-06-23T03:30:00Z,26.5,12.15,156.15619611763586
