datetime,Temp_C,DO_mgL,DO_perc
2022-09-01T00:00:00Z,23.896,9.584,117.4020227665412
2022-09-01T00:15:00Z,23.871,9.589,117.4081274482352
2022-09-01T00:30:00Z,23.846,9.545,116.81450431784504
2022-09-01T01:00:00Z,23.813,9.516,116.38737458995816
2022-09-01T01:15:00Z,23.754,9.453,115.48860163928684
2022-09-01T01:30:00Z,23.746,9.431,115.2024793293644
2022-09-01T02:00:00Z,23.654,9.41,114.74697486289844
2022-09-01T02:15:00Z,23.67,9.394,114.58640963561726
2022-09-01T02:30:00Z,23.62,9.365,114.12507247882094
2022-09-01T03:00:00Z,23.603,9.364,114.07631134174228
2022-09-01T03:15:00Z,23.553,9.353,113.83487364614344
2022-09-01T03:30:00Z,23.553,9.349,113.78618985542552
2022-09-01T04:00:00Z,23.52,9.307,113.20446708135272
2022-09-01T04:15:00Z,23.503,9.27,112.718230539417
2022-09-01T04:30:00Z,23.503,9.161,111.39284897212502
2022-09-01T05:00:00Z,23.469,9.089,110.44640489301165
2022-09-01T05:15:00Z,23.478,9.025,109.68734984295602
2022-09-01T05:30:00Z,23.444,9.072,110.1877525465966
2022-09-01T06:00:00Z,23.461,8.893,108.04834469273706
2022-09-01T06:15:00Z,23.444,8.842,107.39419180081649
2022-09-01T06:30:00Z,23.436,8.845,107.41438393131494
2022-09-01T07:00:00Z,23.436,8.871,107.73013000053078
2022-09-01T07:15:00Z,23.444,8.902,108.12294677797652
2022-09-01T07:30:00Z,23.436,8.897,108.04587606974664
2022-09-01T08:00:00Z,23.453,8.894,108.04415769287904
2022-09-01T08:15:00Z,23.469,9.013,109.52287900767011
2022-09-01T08:30:00Z,23.469,9.011,109.49857569489798
2022-09-01T09:00:00Z,23.628,9.153,111.55839318712812
2022-09-01T09:15:00Z,23.729,9.129,111.47778272088934
2022-09-01T09:30:00Z,23.788,9.185,112.28620994111232
2022-09-01T10:00:00Z,23.938,9.405,115.30018775827338
2022-09-01T10:15:00Z,23.963,9.479,116.26191525374408
2022-09-01T10:30:00Z,24.005,9.459,116.10803781163204
2022-09-01T11:00:00Z,24.072,9.511,116.89301563301898
2022-09-01T11:15:00Z,24.156,9.536,117.38472056820464
2022-09-01T11:30:00Z,24.114,9.62,118.32568552574672
2022-09-01T12:00:00Z,24.232,9.722,119.84450970008147
2022-09-01T12:15:00Z,24.257,9.777,120.5788176142068
2022-09-01T12:30:00Z,24.299,9.813,121.11777371257172
2022-09-01T13:00:00Z,24.173,9.869,121.52247126388716
2022-09-01T13:15:00Z,24.156,9.932,122.2593377394514
2022-09-01T13:30:00Z,24.215,9.956,122.69007016500473
2022-09-01T14:00:00Z,24.215,9.978,122.96118120795674
2022-09-01T14:15:00Z,24.19,9.934,122.36175054166746
2022-09-01T14:30:00Z,24.223,9.888,121.87031388300232
2022-09-01T15:00:00Z,24.198,9.71,119.62053045885602
2022-09-01T15:15:00Z,24.257,9.463,116.70628526984136
2022-09-01T15:30:00Z,24.332,9.625,118.87057101993858
2022-09-01T16:00:00Z,24.433,9.787,121.0991861334056
2022-09-01T16:15:00Z,24.425,9.949,123.08533602700888
2022-09-01T16:30:00Z,24.475,9.127,113.0210949988975
2022-09-01T17:00:00Z,24.483,10.012,123.99866414876094
2022-09-01T17:15:00Z,24.475,10.053,124.48790051757604
2022-09-01T17:30:00Z,24.5,10.117,125.33875898411192
2022-09-01T18:00:00Z,24.5,10.107,125.21486972940784
2022-09-01T18:15:00Z,24.5,10.162,125.89626063028028
2022-09-01T18:30:00Z,24.534,10.166,126.02554842026966
2022-09-01T19:00:00Z,24.542,10.138,125.6971494781721
2022-09-01T19:15:00Z,24.509,10.053,124.56673754291386
2022-09-01T19:30:00Z,24.467,9.978,123.54075379727811
2022-09-01T20:00:00Z,24.399,9.872,122.07354001848488
