datetime,Temp_C,Light_lum/ft2
2022-06-21T19:00:00Z,28.159,5632
2022-06-21T19:30:00Z,28.06,14336
2022-06-21T20:00:00Z,28.357,2944
2022-06-21T20:30:00Z,28.357,3584
2022-06-21T21:00:00Z,27.961,4352
2022-06-21T21:30:00Z,28.357,2944
2022-06-21T22:00:00Z,28.06,1856
2022-06-21T22:30:00Z,27.764,1920
2022-06-21T23:00:00Z,27.764,960
2022-06-21T23:30:00Z,27.567,768
2022-06-22T00:00:00Z,26.879,160
2022-06-22T00:30:00Z,27.075,576
2022-06-22T01:00:00Z,26.879,208
2022-06-22T01:30:00Z,27.075,31
2022-06-22T02:00:00Z,27.37,0
2022-06-22T02:30:00Z,27.173,0
2022-06-22T03:00:00Z,27.075,0
2022-06-22T03:30:00Z,26.879,0
2022-06-22T04:00:00Z,26.585,0
2022-06-22T04:30:00Z,26.39,0
2022-06-22T05:00:00Z,26.195,0
2022-06-22T05:30:00Z,26,0
2022-06-22T06:00:00Z,25.902,0
2022-06-22T06:30:00Z,25.708,0
2022-06-22T07:00:00Z,25.61,0
2022-06-22T07:30:00Z,25.513,0
2022-06-22T08:00:00Z,25.416,0
2022-06-22T08:30:00Z,25.319,0
2022-06-22T09:00:00Z,25.319,0
2022-06-22T09:30:00Z,25.125,0
2022-06-22T10:00:00Z,25.125,0
2022-06-22T10:30:00Z,25.028,26
2022-06-22T11:00:00Z,24.931,75
2022-06-22T11:30:00Z,24.835,91
2022-06-22T12:00:00Z,24.738,120
2022-06-22T12:30:00Z,24.738,168
2022-06-22T13:00:00Z,24.835,240
2022-06-22T13:30:00Z,24.835,208
2022-06-22T14:00:00Z,25.028,304
2022-06-22T14:30:00Z,25.319,480
2022-06-22T15:00:00Z,25.61,448
2022-06-22T15:30:00Z,25.708,464
2022-06-22T16:00:00Z,25.805,416
2022-06-22T16:30:00Z,26.097,256
2022-06-22T17:00:00Z,26.39,216
2022-06-22T17:30:00Z,26.585,288
2022-06-22T18:00:00Z,26.879,464
2022-06-22T18:30:00Z,27.173,304
2022-06-22T19:00:00Z,27.468,384
2022-06-22T19:30:00Z,27.665,272
2022-06-22T20:00:00Z,27.862,216
2022-06-22T20:30:00Z,28.06,1216
