datetime,Temp_C,DO_mgL,DO_perc
2022-06-22T05:30:00Z,25.82,11.24,142.68403435693034
2022-06-22T06:00:00Z,25.66,10.83,137.07741140372812
2022-06-22T06:30:00Z,25.54,10.32,130.3351593362172
2022-06-22T07:00:00Z,25.42,9.99,125.88971682830586
2022-06-22T07:30:00Z,25.3,10.07,126.61802509038948
2022-06-22T08:00:00Z,25.2,10.18,127.7655322138041
2022-06-22T08:30:00Z,25.12,10.15,127.20115838877084
2022-06-22T09:00:00Z,25.06,10.03,125.5581215861792
2022-06-22T09:30:00Z,24.96,9.9,123.7018701358641
2022-06-22T10:00:00Z,24.88,9.34,116.53191808812949
2022-06-22T10:30:00Z,24.78,9.38,116.8143047725883
2022-06-22T11:00:00Z,24.7,8.58,106.69296922698209
2022-06-22T11:30:00Z,24.62,8.35,103.67871039727696
2022-06-22T12:00:00Z,24.56,8.2,101.70268848960195
2022-06-22T12:30:00Z,24.52,8.09,100.26372941154182
2022-06-22T13:00:00Z,24.52,8.11,100.51160018882622
2022-06-22T13:30:00Z,24.56,8.17,101.3306054829327
2022-06-22T14:00:00Z,24.64,8.48,105.33201255617458
2022-06-22T14:30:00Z,24.72,8.75,108.8473358805926
2022-06-22T15:00:00Z,24.84,9.02,112.4560332348878
2022-06-22T15:30:00Z,24.98,9.62,120.2477042354164
2022-06-22T16:00:00Z,25.18,10.22,128.22026386373625
2022-06-22T16:30:00Z,25.4,10.87,136.92874846019575
2022-06-22T17:00:00Z,25.62,11.54,145.95699218112497
2022-06-22T17:30:00Z,25.86,12.13,154.09457365835823
2022-06-22T18:00:00Z,26.08,12.52,159.68860181397363
2022-06-22T18:30:00Z,26.34,13.03,166.98110158632687
2022-06-22T19:00:00Z,26.56,13.57,174.5961305422842
2022-06-22T19:30:00Z,26.8,14.03,181.29924420181015
2022-06-22T20:00:00Z,27.02,14.15,183.57610257651015
2022-06-22T20:30:00Z,27.18,14.58,189.69943877996903
2022-06-22T21:00:00Z,27.34,15.12,197.29066845933835
