datetime,DO_mgL,Temp_C,wtr_0.0,wtr_0.5,wtr_1.0,wtr_1.5,wtr_2.0,wtr_2.5,wtr_3.0
2022-06-21T15:00:00Z,8.65,22.32,25.902,25.902,26.195,NA,NA,NA,NA
2022-06-21T15:30:00Z,8.3,24.9,25.805,25.805,26.39,NA,NA,NA,NA
2022-06-21T16:00:00Z,10.3,26.22,25.902,25.902,26.488,25.902,25.61,25.028,23.869
2022-06-21T16:30:00Z,10.76,25.2,25.805,25.805,26.683,25.708,25.416,25.125,23.677
2022-06-21T17:00:00Z,10.87,25.3,26,26,26.781,25.708,25.416,25.028,23.677
2022-06-21T17:30:00Z,10.99,25.38,26.195,26.195,26.879,26,25.513,25.125,23.773
2022-06-21T18:00:00Z,11.05,25.48,26.488,26.488,26.879,26.195,25.805,25.222,23.966
2022-06-21T18:30:00Z,11.11,25.54,26.781,26.781,27.075,26.39,25.902,25.222,24.062
2022-06-21T19:00:00Z,11.16,25.68,27.075,27.075,27.075,26.39,26,25.61,24.062
2022-06-21T19:30:00Z,11.19,25.78,27.173,27.173,27.173,26.488,26.097,25.61,24.158
2022-06-21T20:00:00Z,11.19,25.92,27.37,27.37,26.977,26.585,26.195,25.708,24.255
2022-06-21T20:30:00Z,11.26,26.06,27.468,27.468,26.977,26.683,26.195,25.708,24.062
2022-06-21T21:00:00Z,11.32,26.18,27.468,27.468,26.781,26.781,26.292,25.805,23.581
2022-06-21T21:30:00Z,11.36,26.26,27.468,27.468,26.781,26.781,26.39,25.805,23.869
2022-06-21T22:00:00Z,11.34,26.3,27.37,27.37,26.781,26.683,26.292,25.805,23.773
2022-06-21T22:30:00Z,11.35,26.28,27.173,27.173,26.977,26.683,26.39,25.805,24.062
2022-06-21T23:00:00Z,11.21,26.24,26.977,26.977,26.879,26.683,26.488,26.292,24.062
2022-06-21T23:30:00Z,11.21,26.34,27.075,27.075,26.683,26.683,26.585,26,23.677
2022-06-22T00:00:00Z,11.18,26.4,26.781,26.781,26.683,26.683,26.488,25.902,23.677
2022-06-22T00:30:00Z,11.21,26.54,27.075,27.075,26.683,26.683,26.39,26,23.677
2022-06-22T01:00:00Z,11.22,26.58,26.977,26.977,26.683,26.585,26.39,25.513,23.773
2022-06-22T01:30:00Z,11.15,26.5,26.879,26.879,26.683,26.585,26.585,25.319,23.869
2022-06-22T02:00:00Z,11.12,26.38,26.683,26.683,26.585,26.585,26.488,25.028,23.869
2022-06-22T02:30:00Z,11.09,26.34,26.683,26.683,26.585,26.585,26.488,24.931,23.581
